run_timestamp,freshness_hours,freshness_status,completeness_status,quality_status,overall_status
2026-09-23T09:20:53.708747,9.35,PASS,PASS,PASS,PASS
2026-09-23T09:24:47.148928,33.41,PASS,PASS,PASS,PASS
2026-09-23T09:27:00.457814,129.45,FAIL,PASS,FAIL,FAIL
2026-09-23T09:31:31.805857,9.53,PASS,PASS,PASS,PASS
2026-09-23T09:36:51.995962,9.61,PASS,PASS,PASS,PASS
2026-09-23T10:17:07.757185,10.29,PASS,PASS,FAIL,FAIL
2026-09-23T11:08:04.744918,83.13,FAIL,PASS,FAIL,FAIL
2026-09-23T11:10:29.651581,11.17,PASS,PASS,PASS,PASS
